p cnf 12 116
-12 -11 -6 0
12 11 -6 0
-12 11 4 0
-12 -11 4 0
12 11 -4 0
12 -11 2 0
12 -11 -2 0
-12 11 2 0
-12 -10 -8 0
-12 -10 -6 0
12 -10 6 0
-12 -10 2 0
-12 -10 1 0
12 10 1 0
12 9 -6 0
12 9 -5 0
-12 9 3 0
-12 9 -1 0
-12 -9 -1 0
12 8 6 0
-12 8 6 0
-12 -8 3 0
12 -7 -6 0
-12 7 3 0
-12 -7 -3 0
-12 -7 -1 0
-12 6 5 0
12 -6 3 0
12 5 -2 0
-12 4 -3 0
12 4 3 0
12 -4 3 0
12 2 -1 0
11 10 8 0
-11 -10 -7 0
11 -10 4 0
11 10 2 0
-11 9 -8 0
11 9 5 0
11 -9 3 0
-11 9 1 0
11 8 -5 0
11 -8 4 0
-11 8 1 0
11 -7 -5 0
-11 -7 4 0
-11 6 5 0
-11 -6 1 0
11 -5 4 0
11 5 1 0
-11 -4 -3 0
11 -4 -1 0
11 3 2 0
10 9 -7 0
10 9 -5 0
-10 -9 5 0
-10 9 5 0
10 -9 4 0
-10 -9 3 0
-10 -9 -3 0
10 -8 7 0
-10 -8 6 0
10 8 3 0
-10 8 -3 0
10 -8 1 0
10 7 -6 0
10 -6 -5 0
-10 6 -5 0
10 6 -3 0
10 -6 2 0
-10 -6 1 0
10 3 1 0
10 2 -1 0
10 -2 -1 0
-9 8 7 0
-9 -8 -7 0
-9 8 -6 0
9 -8 -4 0
9 8 3 0
-9 -7 1 0
-9 -5 -3 0
9 -4 -3 0
-9 4 -2 0
-9 4 -1 0
9 3 -1 0
-8 -7 5 0
-8 7 1 0
8 -7 1 0
8 -6 -5 0
-8 5 -4 0
8 -5 4 0
8 -4 -3 0
-8 -4 -2 0
8 -2 -1 0
-7 6 -5 0
7 6 -4 0
7 -6 4 0
7 5 -3 0
7 -5 -2 0
7 5 -1 0
-7 -4 3 0
7 -4 -1 0
-7 -4 1 0
-7 -3 -1 0
6 5 4 0
-6 -5 2 0
6 -5 -1 0
-5 4 -3 0
5 4 -3 0
5 -4 -2 0
-5 -3 -1 0
-5 -3 1 0
5 2 -1 0
4 3 2 0
4 -3 1 0
4 2 -1 0
